OBJECTID,quadrat,tag,StemTag,sp,lx,ly,hom,dbh_2023,status_2023,codes_2023,notes_2023,living_status_2023,fad_2023,wound_2023,rot_2023,canker_2023,dbh_if_dead,comment_mortality_2023,x,y,status_2024,living_status_2024,crown_position_2024,crown_intact,crown_living,fad_choices,fad_2024,liana_load,wound_2024,rot_2024,canker_2024,lean_angle,lean_direction,dead_with_resprout,crown_check,dbh_dead_2024,dead_dbh_check,comment_mortality_2024,mort_census_status,personnel_list,personnel,GlobalID,EditDate,Editor,date_measured,dbh_verified,x2,y2
11,104,10045,1,cato,0.6,1.2,1.3,324,LI,DV,Measured on old paint checked dbh twice,AU,K,NA,NA,2,,,-78.14770817,38.89117099,LI,A,3,90,85,,,,,,,,,,,,,,finished,JJ,JJ,dc8b9a29-5f92-409d-80f5-5f3083b37eff,7/9/2024 1:47:04 PM,shuej21,7/9/2024 1:47:00 PM,,-78.1477108088394,38.8911787320293
12,1003,100498,1,caco,16.7,14.2,1.3,163,LI,,,A,,NA,NA,NA,,,-78.14544942,38.89109369,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,1e0f1602-66c2-437d-a61e-7f3c3456d8e1,5/30/2024 3:30:53 PM,shuej21,5/30/2024 3:30:28 PM,,-78.1454520588378,38.8911014318338
13,1003,100503,1,cato,19.6,20,1.3,118,LI,,,A,,NA,NA,NA,,,-78.14541546,38.8911457,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,f2e3366f-848c-4688-ba22-576cb28fc9d1,5/30/2024 3:29:57 PM,shuej21,5/30/2024 3:29:32 PM,,-78.1454180989268,38.8911534421576
14,1003,100509,1,litu,9,17.7,1.3,503,LI,,,A,,NA,NA,NA,,,-78.14553781,38.89112577,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,2c3af3c7-e60b-4f13-82e1-cbc1bc626057,5/30/2024 3:32:09 PM,shuej21,5/30/2024 3:32:01 PM,,-78.1455404485702,38.8911335123061
15,1004,100516,1,litu,17.9,2.3,1.3,1089,LI,BT,,A,,NA,NA,NA,,,-78.14543484,38.89116654,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,94330125-df98-4fe0-857d-a445fb178dcd,5/30/2024 3:29:15 PM,shuej21,5/30/2024 3:29:01 PM,,-78.1454374782825,38.8911742816558
16,104,10053,1,acru,4.8,1.2,1.3,181,LI,,,AU,K,NA,NA,1,,It looks like the main stem may have previously broken and a new stem grew from the break,-78.14765978,38.89117069,LI,AU,2,50,50,B,B,,,,,,,,,,,,finished,JJ,JJ,84bb3e10-41a0-4193-ae7e-48916077f904,7/9/2024 1:45:04 PM,shuej21,7/9/2024 1:45:01 PM,,-78.14766241929,38.8911784320748
17,1004,100540,1,quru,11.1,8.3,1.3,489,LI,,,AU,"W,K",1,NA,1,,,-78.14551262,38.89122106,LI,AU,3,100,100,K,"W,K",0,1,,2,,,,,,,IK,finished,Other,Other,d8eaa306-a90f-436d-bdbc-eb47bb598476,5/30/2024 3:16:28 PM,shuej21,5/30/2024 3:16:05 PM,,-78.1455152589113,38.891228802033
18,1004,100542,1,cato,14.8,7.1,1.3,112,LI,,,A,,NA,NA,NA,,,-78.1454701,38.89120999,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,5f4b79e4-6d1d-4b63-a62d-5f1b1cf6d472,5/30/2024 3:27:58 PM,shuej21,5/30/2024 3:27:38 PM,,-78.145472738954,38.8912177316926
19,1004,100550,1,caco,19.7,14.7,1.3,152,LI,,,A,,NA,NA,NA,,,-78.14541294,38.89127806,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,5abed8dc-acf9-401b-9111-3db12b28f000,5/30/2024 3:10:27 PM,shuej21,5/30/2024 3:10:10 PM,,-78.1454155782541,38.8912858017087
20,1004,100551,1,quve,16.6,11.3,1.3,419,LI,,,A,,NA,NA,NA,,,-78.14544897,38.89124767,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,c47c5bd3-1704-4970-8bbd-1cbfee929d2f,5/30/2024 3:12:27 PM,shuej21,5/30/2024 3:12:01 PM,,-78.1454516087819,38.8912554119558
21,1004,100561,1,litu,9.8,18.4,1.3,111,LI,,,A,,NA,NA,NA,,,-78.14552666,38.8913121,LI,A,1,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,234ff114-f156-4dfb-9e54-60c34a421034,5/30/2024 3:06:31 PM,shuej21,5/30/2024 3:06:04 PM,,-78.1455292986809,38.8913198419362
22,1004,100562,1,litu,9.1,19.2,1.3,669,LI,,,A,,NA,NA,NA,,,-78.14553465,38.89131935,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,4f4885a2-c9ef-49a8-9f9e-a66af8fe1881,5/30/2024 3:05:50 PM,shuej21,5/30/2024 3:05:02 PM,,-78.145537288297,38.8913270918698
23,1005,100576,1,cagl,11.7,2.8,1.3,127,LI,,,A,,NA,NA,NA,,,-78.14550632,38.89133949,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,89573bb9-8edc-492f-98ac-9c9c936f3f79,5/30/2024 3:00:50 PM,shuej21,5/30/2024 3:00:13 PM,,-78.1455089590262,38.8913472321241
24,1003,100601,1,cato,2.8,2.1,1.3,132,LI,,,A,,NA,NA,NA,,,-78.1456107,38.89098575,LI,A,1,70,70,,,0,,,,,,,,,,IK,finished,Other,Other,0b0dac66-ef62-4775-bee9-64081438241c,5/22/2024 3:52:33 PM,shuej21,5/22/2024 3:52:03 PM,,-78.1456133387707,38.8909934920761
25,1003,100603,1,cato,6.3,0.9,1.3,129,LI,,,A,,NA,NA,NA,,,-78.14557048,38.89097469,LI,A,1,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,298cc143-2b3b-4bc9-a526-fc6005ae9c78,5/22/2024 3:50:47 PM,shuej21,5/22/2024 3:50:10 PM,,-78.1455731185005,38.8909824321869
26,1003,100605,1,nysy,9.8,1,1.3,140,LI,,,A,,NA,NA,NA,,,-78.14553015,38.89097533,LI,A,2,100,100,,,0,,,,,,,,,,,finished,Other,Other,4f3076aa-3663-41cf-97b6-aa455adbfe61,5/22/2024 3:48:38 PM,shuej21,5/22/2024 3:48:13 PM,,-78.1455327886358,38.8909830719517
27,1003,100612,1,litu,12,4.4,1.4,1276,LI,"BT,DV",,A,,NA,NA,NA,,,-78.14550448,38.89100579,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,9da3ce5e-64aa-4a76-8dbf-4f183b6c2c8d,5/22/2024 3:56:04 PM,shuej21,5/22/2024 3:56:01 PM,,-78.1455071183782,38.8910135317408
28,1003,100647,1,caovl,1.7,8.7,1.3,222,LI,,,A,,NA,NA,NA,,,-78.14562275,38.89104526,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,3068b460-5abe-49e2-8e38-3ee4d3521ab8,5/30/2024 3:47:14 PM,shuej21,5/30/2024 3:47:03 PM,,-78.1456253887719,38.8910530020536
29,1003,100670,1,cagl,4.2,17.3,1.3,305,LI,,,AU,"AN,K",NA,NA,1,,,-78.14559315,38.89112251,LI,AU,3,100,100,AN,AN,0,,,,,,,,,,IK,finished,Other,Other,82fa9a3c-b457-41a6-9a51-687a13f8158d,5/30/2024 3:33:39 PM,shuej21,5/30/2024 3:33:10 PM,,-78.145595788385,38.8911302519598
30,1004,100700,1,litu,6.9,3.7,1.3,232,LI,,,A,,NA,NA,NA,,,-78.14556144,38.89117995,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,f179a143-692e-4692-8fef-9a877a806884,5/30/2024 3:25:02 PM,shuej21,5/30/2024 3:25:00 PM,,-78.1455640787538,38.891187692207
31,1004,100716,1,quve,9.5,11.4,1.3,749,LI,,,A,,NA,NA,NA,,,-78.14553077,38.89124909,LI,A,3,100,90,,,0,,,,,,,,,,IK,finished,Other,Other,f27abc9a-f2fa-4250-8825-4bfedfe487d2,5/30/2024 3:14:51 PM,shuej21,5/30/2024 3:14:17 PM,,-78.1455334084733,38.8912568320184
32,1004,100719,1,litu,1.7,10.6,1.3,365,LI,,,A,,NA,NA,NA,,,-78.14562071,38.89124246,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,d5d0cbb1-e1f9-4416-98ff-b3f2da046410,5/30/2024 3:21:53 PM,shuej21,5/30/2024 3:21:28 PM,,-78.1456233486979,38.8912502022625
33,1004,100720,1,litu,1.7,12,1.3,424,LI,,,A,,NA,NA,NA,,,-78.14562058,38.89125506,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,36776e1d-9e4b-4887-971a-7f56fed2e575,5/30/2024 3:18:37 PM,shuej21,5/30/2024 3:18:15 PM,,-78.1456232184422,38.8912628017347
34,1004,100727,1,litu,6.5,13.7,1.3,132,LI,,,A,,NA,NA,NA,,,-78.14556512,38.89127002,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,3d29c5f7-f58a-4f0c-8909-97a5f5860d5f,5/30/2024 3:17:30 PM,shuej21,5/30/2024 3:17:06 PM,,-78.1455677582532,38.8912777616821
35,1005,100754,1,quru,3.8,6.8,1.3,461,LI,,,AU,"W,R",1,1,NA,,Multiple small wounds,-78.14559501,38.89138817,LI,AU,3,100,90,W,W,0,1,,,,,,,,,IK,finished,Other,Other,cc36f454-cc91-4b70-8c50-4b3803d42712,5/30/2024 1:57:11 PM,shuej21,5/30/2024 1:57:01 PM,,-78.1455976487959,38.8913959120146
36,1005,100769,1,quve,11,15.4,1.3,664,LI,,,A,,NA,NA,NA,,,-78.14551125,38.89146509,LI,A,3,100,90,,,0,,,,,,,,,,IK,finished,Other,Other,29aee61d-adb9-487b-abfa-08e1b2fc355c,5/30/2024 2:51:56 PM,shuej21,5/30/2024 2:51:16 PM,,-78.1455138889805,38.8914728322286
37,1005,100771,1,quru,8.5,17,1.3,1020,LI,"DV,I",,A,,NA,NA,NA,,,-78.1455399,38.89147968,LI,A,3,100,80,,,0,,,,,,,,,,IK,finished,Other,Other,1bd5646c-1815-4a40-a832-3759bc13c9b8,5/30/2024 2:47:30 PM,shuej21,5/30/2024 2:47:06 PM,,-78.1455425389499,38.8914874222595
38,1006,100782,1,litu,4.2,1.6,1.3,679,LI,,,A,,NA,NA,NA,,,-78.14558902,38.89152141,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,1ac60bea-0071-4b9b-a5e6-ecbef8c301de,5/30/2024 2:44:26 PM,shuej21,5/30/2024 2:44:04 PM,,-78.1455916588296,38.8915291520946
39,1006,100783,1,litu,7.3,1.4,1.3,307,LI,,,A,,NA,NA,NA,,,-78.14555332,38.89151938,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,d988a86d-596e-4d06-9141-0795f8b12285,5/30/2024 2:45:44 PM,shuej21,5/30/2024 2:45:16 PM,,-78.1455559588819,38.8915271223428
40,1006,100791,1,nysy,1,5.3,1.3,106,LI,,,A,,NA,NA,NA,,,-78.14562554,38.89155496,LI,A,1,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,b8ec4523-7b1b-46b1-b20b-9127afe22c49,5/30/2024 2:43:37 PM,shuej21,5/30/2024 2:43:14 PM,,-78.1456281789392,38.8915627020728
41,1006,100795,1,nysy,4.7,7.4,1.3,215,LI,,,A,,NA,NA,NA,,,-78.14558272,38.8915736,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,1ff8a706-eb0f-4354-803b-cbd7c7840aca,5/30/2024 2:36:24 PM,shuej21,5/30/2024 2:36:04 PM,,-78.1455853589445,38.8915813417973
42,1006,100799,1,litu,8.7,5.6,1.3,139,LI,,,A,,NA,NA,NA,,,-78.1455368,38.8915571,LI,AU,2,100,30,DF,DF,0,,,,,,,,,,IK,finished,Other,Other,869743b3-6bd6-4988-aba4-585b6ca7b3e1,5/30/2024 2:40:58 PM,shuej21,5/30/2024 2:40:15 PM,,-78.1455394388638,38.8915648422957
43,104,10080,1,prse,3.7,13.4,1.3,145,LI,DV,,A,,NA,NA,NA,,,-78.14767132,38.89128062,LI,A,3,90,85,,,,,,,,,,,,,,finished,JJ,JJ,8d3cc957-83f4-4050-a3eb-7cec1c92cb77,7/9/2024 1:44:00 PM,shuej21,7/9/2024 1:43:31 PM,,-78.1476739590481,38.8912883621553
44,1005,100818,1,nysy,17.3,18.4,1.3,210,LI,,,A,,NA,NA,NA,,,-78.14543838,38.89149164,LI,A,2,100,100,,,0,,,,,,,,,,,finished,Other,Other,3b390354-31f6-4d33-ac40-477f943fa7a2,5/30/2024 2:52:56 PM,shuej21,5/30/2024 2:52:32 PM,,-78.145441018543,38.8914993819294
45,1006,100834,1,nysy,16.1,5.6,1.3,211,LI,,,A,,NA,NA,NA,,,-78.14545154,38.89155656,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,fef18887-1755-46ee-ae75-bde7d3cd35f7,5/30/2024 2:41:45 PM,shuej21,5/30/2024 2:41:18 PM,,-78.1454541788619,38.8915643018213
46,1006,100855,1,litu,14,16.2,1.3,655,LI,,,A,,NA,NA,NA,,,-78.14547474,38.89165216,LI,A,3,90,90,,,1,,,,,,,,,,IK,finished,Other,Other,019d663c-69d0-4ace-9df3-44743b561533,5/30/2024 2:22:59 PM,shuej21,5/30/2024 2:22:26 PM,,-78.1454773787524,38.8916599021098
47,1006,100861,1,litu,20,18.6,1.3,185,LI,,,A,,NA,NA,NA,,,-78.14540539,38.89167333,LI,A,1,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,7d11f911-f30f-4d7d-b125-e84c0931168c,5/30/2024 2:20:44 PM,shuej21,5/30/2024 2:20:18 PM,,-78.1454080288125,38.891681072176
48,1007,100868,1,litu,17.6,0.5,1.3,665,LI,,,A,,NA,NA,NA,,,-78.14543286,38.89169062,LI,A,3,90,90,,,0,,,,,,,,,,IK,finished,Other,Other,98082c56-c55c-4599-90df-4e7580d1dab7,5/30/2024 2:20:00 PM,shuej21,5/30/2024 2:19:34 PM,,-78.1454354983956,38.8916983624338
49,1007,100874,1,litu,19.2,4,1.3,361,LI,,,A,,NA,NA,NA,,,-78.1454141,38.89172202,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,5367c4cb-873a-4b3b-919e-e60f0b7e2b28,5/30/2024 2:18:27 PM,shuej21,5/30/2024 2:18:02 PM,,-78.1454167388775,38.8917297623256
50,1007,100881,1,litu,17.3,11,1.3,651,LI,,,A,,NA,NA,NA,,,-78.14543534,38.89178519,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,a5add924-5020-4f88-ae21-0e62e06148b2,5/30/2024 2:11:58 PM,shuej21,5/30/2024 2:11:30 PM,,-78.1454379786441,38.891792931938
51,1007,100887,1,litu,15.4,15.6,1.3,333,LI,,,A,,NA,NA,NA,,,-78.1454568,38.89182675,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,2d59c08c-5696-451c-b519-e436fbf58f7e,5/30/2024 2:11:04 PM,shuej21,5/30/2024 2:11:01 PM,,-78.1454594384979,38.8918344923902
52,1007,100890,1,litu,18.6,14.7,1.3,692,LI,,,A,,NA,NA,NA,,,-78.14542002,38.89181841,LI,A,3,100,90,,,0,,,,,,,,,,IK,finished,Other,Other,eb473971-6954-4b9e-acef-9cabba19c031,5/30/2024 2:10:17 PM,shuej21,5/30/2024 2:10:02 PM,,-78.1454226587752,38.891826152474
53,1007,100891,1,litu,19.6,16,1.3,355,LI,,,A,,NA,NA,NA,,,-78.14540837,38.89183004,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,ba9fd6a4-bb69-4dcd-9443-0b132b448b2f,5/30/2024 2:08:50 PM,shuej21,5/30/2024 2:08:19 PM,,-78.1454110085243,38.8918377820701
54,1007,100892,1,caca,20,17.1,1.3,125,LI,,,A,,NA,NA,NA,,,-78.14540366,38.89183992,LI,A,1,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,a1a13e78-f50f-4c90-9538-242e7a7c6fb1,5/30/2024 2:08:03 PM,shuej21,5/30/2024 2:08:01 PM,,-78.1454062986573,38.8918476622961
55,1007,100893,1,litu,19.2,19.1,1.3,454,LI,,,A,,NA,NA,NA,,,-78.14541269,38.89185798,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,a6a6445c-adf5-4772-9e52-3fb36876e7b3,5/30/2024 2:05:52 PM,shuej21,5/30/2024 2:05:21 PM,,-78.1454153285225,38.8918657223191
56,1008,100904,1,litu,11.4,2.1,1.3,329,LI,,,A,,NA,NA,NA,,,-78.14550228,38.89188557,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,71148db4-cbcc-4487-bdac-ba04c9791200,5/30/2024 2:01:21 PM,shuej21,5/30/2024 2:01:00 PM,,-78.1455049184041,38.8918933122641
57,1008,100905,1,litu,10,1.6,1.3,693,LI,,,A,,NA,NA,NA,,,-78.14551846,38.89188117,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,ceb6064b-be06-481a-bad4-371e08dc7e0a,5/30/2024 2:00:25 PM,shuej21,5/30/2024 2:00:01 PM,,-78.145521098859,38.8918889122768
58,1008,100906,1,litu,9.3,1.1,1.3,506,LI,,,A,,NA,NA,NA,,,-78.14552657,38.89187671,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,891babf1-9f47-4359-b2e4-5ee1c6b6a729,5/30/2024 2:02:05 PM,shuej21,5/30/2024 2:02:01 PM,,-78.1455292088494,38.8918844521593
59,1008,100911,1,litu,16.3,5,1.3,507,LI,,,A,,NA,NA,NA,,,-78.14544556,38.89191132,LI,A,3,100,100,,,0,,,,,,,,,,,finished,Other,Other,a19ea9d4-7db6-422d-9a81-38596f03dfea,5/30/2024 2:04:46 PM,shuej21,5/30/2024 2:04:28 PM,,-78.1454481987771,38.8919190619375
60,1008,100912,1,litu,18.2,5.8,1.3,504,LI,,,A,,NA,NA,NA,,,-78.14542359,38.89191839,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,d545eaf0-91e4-4b1e-b041-4f7c4e807fb7,5/30/2024 2:04:12 PM,shuej21,5/30/2024 2:04:01 PM,,-78.1454262286802,38.8919261321188
61,1008,100915,1,caca,19.1,10.2,1.3,127,LI,,,A,,NA,NA,NA,,,-78.14541281,38.89195794,LI,A,1,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,ba2fb29a-9bc2-4e8a-9552-579ec9d73cd6,5/29/2024 3:59:59 PM,shuej21,5/29/2024 3:59:31 PM,,-78.1454154488967,38.891965682331
62,1008,100916,1,litu,14.2,8.4,1.3,456,LI,,,A,,NA,NA,NA,,,-78.14546943,38.89194209,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,826b610a-4483-48e1-98a8-22d2d8d00b96,5/29/2024 3:59:11 PM,shuej21,5/29/2024 3:59:00 PM,,-78.1454720688108,38.8919498324634
63,1008,100919,1,caovl,15.7,13.6,1.3,196,LI,,,A,,NA,NA,NA,,,-78.14545167,38.8919888,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,bc0801ac-3ab6-401d-88a7-4b23058db055,5/29/2024 3:40:48 PM,shuej21,5/29/2024 3:40:20 PM,,-78.1454543082193,38.8919965423325
64,1008,100921,1,litu,20,13.3,1.3,480,LI,,,A,,NA,NA,NA,,,-78.14540215,38.89198579,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,8665bb4d-c19c-4b6d-9fd7-c0baf869cc2f,5/29/2024 3:41:40 PM,shuej21,5/29/2024 3:41:08 PM,,-78.1454047885893,38.8919935323345
65,1008,100928,1,litu,17.6,20,1.3,230,LI,,,A,,NA,NA,NA,,,-78.14542918,38.89204629,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,c6488c87-eb12-450e-af5b-34bfc863ce19,5/29/2024 3:33:27 PM,shuej21,5/29/2024 3:33:02 PM,,-78.1454318188962,38.8920540322206
66,1008,100929,1,cato,12.9,15.9,1.3,185,LI,,,A,,NA,NA,NA,,,-78.14548371,38.89200972,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,5d4fa097-1f00-422f-ad6c-0758345e7bce,5/29/2024 3:39:44 PM,shuej21,5/29/2024 3:39:01 PM,,-78.1454863484305,38.8920174619897
67,1008,100930,1,caca,10.1,19.2,1.3,112,LI,,,A,,NA,NA,NA,,,-78.14551567,38.89203963,LI,A,1,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,536a59c2-ff8d-4884-8272-6737ae1478f4,5/29/2024 3:29:54 PM,shuej21,5/29/2024 3:29:28 PM,,-78.1455183086917,38.8920473724742
68,1008,100932,1,litu,10.4,15,1.3,429,LI,,,A,,NA,NA,NA,,,-78.1455126,38.8920018,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,d326f2a3-d94c-4809-986c-fd51a6633b7d,5/29/2024 3:43:37 PM,shuej21,5/29/2024 3:43:01 PM,,-78.1455152382501,38.8920095423061
69,1009,100934,1,caca,14.2,3,1.3,135,LI,,,A,,NA,NA,NA,,Crown leaning towards 0 degrees North,-78.14546807,38.89207355,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,60eb2ffb-0ad3-4af7-8466-77df69d6be31,5/29/2024 3:27:02 PM,shuej21,5/29/2024 3:27:01 PM,,-78.1454707087615,38.8920812920768
70,1009,100936,1,litu,11.6,1.8,1.3,367,LI,,,A,,NA,NA,NA,,,-78.14549814,38.89206294,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,c44a5f07-4a6c-43ab-b326-bc8aac5b3cb8,5/29/2024 3:28:26 PM,shuej21,5/29/2024 3:28:06 PM,,-78.1455007789673,38.8920706819335
71,1009,100941,1,litu,14.6,6.5,1.3,473,LI,,,A,,NA,NA,NA,,,-78.14546314,38.89210504,LI,A,3,100,100,,,0,,,,,,,,,,,finished,Other,Other,6f50e667-901b-44af-813e-31782ce5ca2a,5/29/2024 3:22:37 PM,shuej21,5/29/2024 3:22:17 PM,,-78.1454657788072,38.8921127819941
72,1009,100943,1,litu,6.6,8.6,1.3,494,LI,,,A,,NA,NA,NA,,,-78.1454788,38.89212368,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,58b990b9-f379-459a-a750-b73e1e252383,5/29/2024 3:25:41 PM,shuej21,5/29/2024 3:25:25 PM,,-78.1454814382392,38.8921314222735
73,1009,100944,1,litu,20,6.1,1.3,243,LI,,,AU,K,NA,NA,1,,,-78.14540096,38.89210105,LI,A,2,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,155fad00-adb2-4641-95f5-554b72e5a1f0,5/29/2024 3:35:13 PM,shuej21,5/29/2024 3:35:03 PM,,-78.1454035983215,38.8921087924424
74,1009,100950,1,cagl,18,15.1,1.3,468,LI,,,A,,NA,NA,NA,,,-78.14542316,38.89218223,LI,A,3,100,100,,,0,,,,,,,,,,,finished,Other,Other,5791bf80-37ac-48b7-877c-ad5c52bc3a54,5/29/2024 3:14:03 PM,shuej21,5/29/2024 3:14:01 PM,,-78.1454257983871,38.8921899720162
75,1009,100952,1,litu,13.3,15.6,1.2,712,LI,A,,A,,NA,NA,NA,,,-78.14547727,38.89218708,LI,A,3,100,100,,,0,,,,,,,,,,IK,finished,Other,Other,7856a8ee-29d1-48a8-b2b9-476301316c21,5/29/2024 3:13:11 PM,shuej21,5/29/2024 3:13:01 PM,,-78.1454799084083,38.8921948222596
